timestamp,session_id,turn,eou_delay,llm_ttft,tts_ttfb,total
1782793593,50330f86-5f5c-486a-b990-8d4b84db3dc8,3,0.201,33.140,0.264,33.606
1782793613,50330f86-5f5c-486a-b990-8d4b84db3dc8,4,0.201,1.014,0.300,1.515
1782793632,50330f86-5f5c-486a-b990-8d4b84db3dc8,5,0.200,0.773,0.251,1.224
1782793650,50330f86-5f5c-486a-b990-8d4b84db3dc8,6,0.202,0.738,0.253,1.193
1782793661,50330f86-5f5c-486a-b990-8d4b84db3dc8,7,0.201,0.698,0.320,1.220
1782793674,50330f86-5f5c-486a-b990-8d4b84db3dc8,8,0.200,0.839,0.246,1.285
1782793686,50330f86-5f5c-486a-b990-8d4b84db3dc8,9,0.257,3.601,0.240,4.097
1782793939,412b9766-17f8-47ec-b012-46aa4f28b917,1,0.202,1.952,0.254,2.408
1782793954,412b9766-17f8-47ec-b012-46aa4f28b917,2,0.200,0.911,0.323,1.435
1782793978,412b9766-17f8-47ec-b012-46aa4f28b917,3,0.201,0.695,0.401,1.298
1782794006,412b9766-17f8-47ec-b012-46aa4f28b917,4,0.257,0.735,0.268,1.260
1782796568,58c04c21-d386-4c6c-b591-fbbcbec21c45,1,0.314,1.633,0.263,2.210
1782796581,58c04c21-d386-4c6c-b591-fbbcbec21c45,2,0.302,0.847,0.340,1.489
1782796589,58c04c21-d386-4c6c-b591-fbbcbec21c45,3,0.300,0.683,0.239,1.222
1782796599,58c04c21-d386-4c6c-b591-fbbcbec21c45,4,0.301,0.562,0.258,1.121
1782796616,58c04c21-d386-4c6c-b591-fbbcbec21c45,5,0.302,5.295,0.307,5.904
1782796628,58c04c21-d386-4c6c-b591-fbbcbec21c45,6,0.302,0.672,0.278,1.252
1782796641,58c04c21-d386-4c6c-b591-fbbcbec21c45,7,0.301,0.962,0.291,1.554
1782796654,58c04c21-d386-4c6c-b591-fbbcbec21c45,8,0.302,2.275,0.236,2.812
1782796666,58c04c21-d386-4c6c-b591-fbbcbec21c45,9,0.301,0.574,0.242,1.117
1782878509,9efd3237-72a1-468e-88a0-429fa00c5bf5,1,0.301,1.929,0.280,2.510
1782878522,9efd3237-72a1-468e-88a0-429fa00c5bf5,2,0.301,0.609,0.320,1.230
1782878540,9efd3237-72a1-468e-88a0-429fa00c5bf5,3,0.301,0.844,0.276,1.420
